sales_id,age,country,membership_status,previous_purchases,destination,stay_length,guests,travel_month,months_before_travel,earlybird_discount,package_Type,cost,rating,margin,additional_services_cost
22,36,Germany,silver,4,New York,5,3,12,2,True,Cultural,1078.6702983784196,7,784.1409300637481,205.67492810149892
23,41,UK,standard,1,Paris,9,3,12,2,True,Relaxation,2198.120690577398,5,1662.584140080223,604.7901716189899
24,18,France,standard,3,Cairo,13,4,12,1,True,Cultural,2871.273509362712,5,2689.083873060257,570.7936681626541
25,31,Germany,gold,6,Sydney,1,1,2,4,True,Cultural,142.50511375169873,6,-377.66033198079646,-41.791280181175374
26,41,Canada,standard,0,New York,12,2,7,7,False,Relaxation,2474.3668368162585,5,2127.1567295221903,549.8318294826722
27,22,Italy,standard,1,Cape Town,5,1,8,9,True,Cultural,1150.2764883902314,5,603.3985299854608,9.706360194565121
28,45,Spain,silver,4,Tokyo,18,3,2,11,True,Relaxation,3511.0547161611144,6,3284.750104518803,1265.1599592274629
29,30,Spain,standard,3,Paris,7,1,8,9,False,Relaxation,1421.9854527913078,7,873.9384985705294,365.9582499369877
30,35,Spain,silver,1,Paris,12,3,6,4,False,Adventure,2805.7616373354676,7,2488.357030216122,734.1757837886455
31,30,Germany,silver,1,Rio,6,3,7,1,False,Adventure,1270.5689562911862,6,768.6135936301389,171.32117438944593
32,67,France,gold,7,Paris,6,4,1,2,False,Relaxation,1139.0410737356785,8,538.2605246583371,286.7906012621338
33,39,Spain,silver,3,Cape Town,5,2,2,2,False,Adventure,1026.8212512061853,6,450.22288418396465,254.29167735396842
34,24,USA,standard,6,Sydney,11,4,1,4,True,Cultural,2502.8796500734566,5,2180.9185282236845,304.4464559333224
35,52,Australia,standard,5,Rome,8,5,2,2,False,Cultural,1741.2315622200042,7,1078.5446013049454,168.06334242708726
36,21,France,silver,3,New York,7,2,12,2,True,Cultural,1862.8542776673407,7,1564.2077591682337,95.75813520788338
37,43,Italy,standard,3,Sydney,0,3,2,2,False,Cultural,-254.97552759350654,5,-892.9134940953244,0.23028009814856176
38,18,Canada,gold,5,Rio,9,2,7,3,False,Cultural,2040.9999822137777,8,1608.7677162227592,374.33224774785066
39,20,France,silver,2,Cairo,20,3,2,5,False,Adventure,3763.576513653476,5,3615.621577601695,683.2862103582885
40,42,Canada,standard,1,Cairo,8,2,12,1,False,Adventure,1713.252248801781,7,1563.737451971964,452.10124208786635
41,51,France,gold,3,Rio,4,3,12,3,True,Cultural,588.2914096161464,6,61.68691205814457,185.34325156273877
42,42,Spain,standard,6,Rome,2,2,6,1,False,Adventure,146.1148623579741,7,-389.278400364738,38.17101135143315
43,38,Australia,standard,1,Sydney,13,3,1,20,False,Adventure,2711.4421328859007,7,2167.8241070281174,684.4450525259858
44,35,Australia,silver,4,Tokyo,22,1,6,3,False,Relaxation,5191.714465393596,7,4863.615228349404,1048.6779742831143
45,18,Canada,gold,7,New York,19,3,2,1,True,Relaxation,4035.655917930967,7,3664.559000288854,1264.256512169245
46,29,France,silver,1,Paris,7,3,8,4,True,Relaxation,1643.363196951632,5,1135.8416053729745,298.6619061762161
47,33,Australia,standard,5,Rome,10,1,8,1,False,Relaxation,2473.9941973377354,5,1930.2882938358503,601.7815312871933
48,55,UK,standard,2,Rome,10,2,12,4,False,Relaxation,2458.901585834897,6,2013.086742909574,711.0531559038346
49,45,France,standard,4,New York,4,2,2,1,False,Relaxation,604.8364393571919,6,413.15545292368137,132.36383557670973
50,18,Australia,standard,1,Cairo,6,3,2,1,False,Adventure,1261.755802970928,4,1108.8404806107806,272.31367201620054
51,44,USA,standard,3,Sydney,5,3,12,1,True,Adventure,1166.6271124657637,5,498.4944088815921,194.87955854522426
52,34,USA,silver,8,New York,19,3,7,3,True,Adventure,4422.557921673704,5,4290.506698740675,706.9730149287282
53,29,UK,gold,7,Cairo,4,1,12,2,True,Relaxation,1166.4822920244037,6,960.2405964923228,200.95647059610178
54,49,Australia,standard,0,New York,11,1,7,5,True,Cultural,2527.9013847761225,7,2215.7375739382487,467.51110731723725
55,55,USA,standard,4,Cairo,19,3,8,1,True,Adventure,4044.389654522821,5,3800.5565888866827,838.3389834071786
56,53,Spain,gold,6,Sydney,6,2,2,4,False,Cultural,839.4899094099842,8,528.944995164565,205.84961515986058
57,27,France,silver,2,Rome,16,2,6,2,False,Cultural,3673.208680525918,6,3114.503752351454,472.2996142752983
58,35,Germany,gold,7,Cairo,13,3,12,2,True,Cultural,3163.8985729544,7,2682.3317060284307,331.7035869793989
59,44,Australia,standard,1,New York,10,1,2,8,False,Cultural,1795.171914007016,7,1508.0046027137967,332.790368702362
60,54,Italy,standard,1,Rio,13,1,1,5,False,Adventure,2468.6449175218463,7,1985.6588916554392,509.32831924773336
61,32,UK,silver,2,Tokyo,20,2,2,1,False,Relaxation,4135.830013165998,5,3863.2711478052443,718.8109063281693
62,37,Australia,silver,2,New York,8,3,6,4,False,Adventure,1890.691909775592,7,1609.8507488989142,555.3004910228898
63,23,Canada,standard,4,Rome,36,4,8,1,False,Cultural,8284.195062838242,7,7604.502465970893,1474.0720359970903
64,22,Canada,silver,3,Cairo,41,2,6,19,True,Relaxation,9456.547046540136,5,9299.395137106847,2784.2158689872567
65,52,USA,standard,1,Cape Town,5,3,2,7,False,Adventure,1032.0649229557052,6,669.8359317837362,76.55443743384569
66,60,Italy,standard,5,Cairo,3,1,2,6,False,Adventure,741.00545412173,5,526.3414580653061,69.75110877403262
67,38,Canada,silver,6,Cairo,2,3,7,4,False,Relaxation,439.9835054263133,5,321.16453005002825,140.41984886184684
68,55,UK,standard,3,Rio,2,2,6,1,True,Cultural,173.96350629194274,5,-258.3216804372586,76.51058405793901
69,45,Italy,silver,3,Rome,15,2,7,3,False,Relaxation,3499.2585292431686,6,2893.5620773941,709.0312565711404
70,30,USA,standard,3,Sydney,21,1,8,2,True,Relaxation,4895.573128883933,5,4445.113429577039,925.2037289041089
71,45,UK,standard,5,Rio,0,3,6,2,False,Cultural,65.93749243733365,7,-422.29118007334205,-48.123286163879285
72,63,France,standard,2,New York,2,1,2,4,True,Cultural,533.8980080555764,7,162.88467839672842,37.83739602685503
73,39,UK,standard,3,Cairo,19,1,2,5,False,Relaxation,3687.9968450560996,7,3508.4946326296777,907.1946019515119
74,63,Canada,standard,4,Rio,3,2,12,1,False,Cultural,802.9323871373267,6,261.2118854032815,64.08592147744366
75,18,France,silver,3,Tokyo,15,3,7,4,False,Relaxation,3733.0729451324396,5,3423.715871674117,649.1535637561782
76,52,Canada,gold,6,Sydney,24,2,1,2,False,Cultural,4739.2601267822465,6,4208.168624117625,1004.4540065398791
77,41,UK,standard,3,Cape Town,8,2,2,1,False,Cultural,1629.1850056943495,5,1223.8162868448244,223.22607323201512
78,35,Canada,standard,0,Tokyo,5,1,1,1,True,Cultural,981.7561133493688,7,661.1494859550168,115.22043526172345
79,41,Italy,gold,3,Paris,12,3,2,4,False,Relaxation,2223.9327224929953,8,1875.348985363741,713.0403391643438
80,18,Canada,standard,3,Tokyo,6,5,6,6,False,Adventure,1584.8082865686918,7,1212.863435120127,241.51604543714777
81,36,Canada,standard,6,Paris,4,5,6,1,False,Adventure,900.875178379313,5,497.1463953135994,120.04221499553447
82,45,Australia,standard,6,Cape Town,2,1,7,1,True,Relaxation,374.8842103164519,7,-217.56926583096367,46.648154919646466
83,62,France,silver,2,Rio,10,3,1,2,True,Cultural,2109.3387115399814,7,1594.9105675888131,290.2392611082108
84,32,Italy,standard,5,Cairo,8,3,1,1,False,Relaxation,1776.153894640182,7,1612.9031500013823,499.76173973774405
85,27,France,silver,2,Rome,7,3,1,4,False,Relaxation,1323.014646020802,6,626.3236220975557,313.60268201434155
86,32,Spain,standard,3,Rome,4,1,7,1,False,Cultural,984.0948480735968,5,494.477419991779,173.65261378026676
87,53,France,standard,0,Rio,6,2,6,1,False,Cultural,1239.2813996168588,6,622.5949174069262,229.5858752270128
88,44,Spain,standard,2,Rome,25,2,12,4,False,Adventure,5662.530664324081,7,5130.087424922198,1185.4987859037362
89,32,UK,silver,4,Rio,8,4,2,6,False,Relaxation,1465.742153914973,5,797.4208311265279,408.2626491855749
90,47,Spain,silver,3,Cairo,9,2,1,1,True,Adventure,1675.3772218352021,5,1453.7005949505203,327.920647650534
91,41,Spain,standard,6,Cairo,5,2,1,2,False,Relaxation,960.2555089919226,7,770.8731464149794,225.7708856605504
92,54,Germany,standard,4,New York,12,3,7,3,False,Adventure,2841.0566330522565,7,2651.1738080582236,652.9481236812358
93,29,UK,silver,4,Sydney,18,4,8,1,False,Adventure,4281.250448228395,8,3804.1848694668347,711.7914374752577
94,35,France,gold,5,Cape Town,4,3,6,4,False,Relaxation,768.1000088689442,8,254.56480964572552,322.4648631756262
95,34,USA,standard,5,Tokyo,12,3,6,1,False,Relaxation,2828.739215095207,7,2583.477474169316,931.4198216235726
96,18,Canada,silver,0,Cairo,9,2,6,1,True,Cultural,2377.6273600057957,7,2187.6392925845757,553.5933061559953
97,44,Canada,standard,4,Tokyo,4,3,1,4,False,Relaxation,795.2781764148987,7,569.6733229626212,245.20399539730232
98,43,Germany,standard,2,Cape Town,1,3,8,6,True,Relaxation,168.2124293478274,7,-186.01433782300293,48.23728421513352
99,40,USA,standard,3,Rome,9,1,8,4,False,Adventure,2075.3013422269414,6,1613.0942087370138,610.8871705529298
100,36,Australia,silver,5,Tokyo,8,3,2,8,False,Relaxation,1669.0194398742865,5,1526.6798372819035,496.05693649471664
101,18,Spain,standard,2,New York,6,3,2,14,True,Adventure,1270.368445071699,4,910.3022575697242,182.541443577155
102,33,Italy,gold,6,Rome,9,1,6,6,False,Cultural,2375.5912103650644,7,1724.4782786649275,393.2057878253902
103,34,UK,silver,2,Tokyo,7,4,8,3,False,Adventure,1844.685750337674,6,1477.0621135354088,368.39718999701915
104,27,Australia,gold,6,New York,7,2,7,1,True,Adventure,1570.26501679972,7,1187.1805695237313,503.7241617215629
105,37,USA,standard,1,Cape Town,7,2,8,7,False,Adventure,1748.5541932295914,6,1106.0167721151881,419.5549053858265
106,46,Germany,standard,2,Sydney,18,2,6,2,False,Relaxation,4189.217253788284,5,3846.7653899960387,768.7644407360781
107,68,USA,gold,6,Tokyo,4,3,12,2,False,Relaxation,1208.6117132233187,6,864.2595528223202,346.8025115879829
108,42,Germany,silver,4,Rio,6,2,8,3,False,Adventure,1391.6969948880082,7,1051.9751903239353,300.4798802714407
109,43,Australia,gold,4,New York,3,2,1,7,True,Relaxation,603.2278401752724,7,347.8371007037913,12.729736617877663
110,38,Australia,standard,2,Tokyo,15,2,1,5,False,Relaxation,3078.0923545488804,5,2765.8399691396658,868.5525918808605
111,18,Italy,standard,2,Rome,9,1,7,3,False,Cultural,1783.5086591251109,7,1372.183473956227,218.80020750676655
112,39,USA,silver,2,Cape Town,6,1,7,7,False,Adventure,1545.0253111121615,5,978.9541899384831,252.53387923539702
113,40,USA,standard,3,Cape Town,4,4,2,6,False,Relaxation,672.4935830677936,7,360.8876494594963,154.22701299084383
114,76,Spain,silver,3,Rio,10,2,12,2,True,Cultural,2110.942095823481,6,1720.2441332865963,349.04147952418975
115,37,Canada,standard,0,Cape Town,5,2,8,1,False,Cultural,910.051532671197,5,577.0724013178682,67.91199911797686
116,44,Germany,standard,5,Rome,6,2,12,2,False,Relaxation,1471.8002356664101,7,993.2469457770736,447.0788399098857
117,39,Canada,standard,4,Paris,6,2,6,5,True,Relaxation,1378.3079303473705,7,968.7607809101545,275.90306191066134
118,22,UK,standard,4,New York,10,5,6,3,True,Cultural,2423.701138776117,6,2128.4092115490384,346.48394161684337
119,57,UK,standard,0,Rio,3,2,1,1,True,Cultural,1017.988902480274,6,485.0846854142691,34.178474421717965
120,51,USA,silver,3,Tokyo,16,3,12,2,False,Adventure,3479.9705278699325,7,3200.159479463015,615.3722290769597
121,51,Australia,standard,4,Sydney,5,3,1,7,False,Adventure,1105.3012185009322,6,507.14948905065205,127.51628856002192
122,26,UK,standard,2,Tokyo,4,2,6,9,False,Adventure,978.7262629145356,5,804.4388329378735,190.7827023352652
123,61,UK,gold,4,Tokyo,15,2,6,1,False,Relaxation,4432.865443099576,9,3424.3700396940285,1296.2988708913224
124,18,Italy,standard,2,Cairo,10,4,1,11,True,Relaxation,1783.2641683170932,5,1612.5709269144836,208.491445031997
125,48,Canada,standard,4,New York,16,2,2,3,False,Relaxation,2908.3192284288234,6,2572.1193039592586,848.8829649271364
126,72,Italy,silver,3,Tokyo,6,2,6,5,False,Relaxation,1572.8132154169616,5,1006.5441495656266,523.2631905773432
127,25,Canada,gold,5,Rio,12,3,2,6,False,Relaxation,2374.9249993003427,8,1694.3589297886024,289.1166189705883
128,31,Spain,standard,2,Paris,5,1,8,1,True,Relaxation,988.3254831981696,7,542.3343697312945,149.77959995777758
129,41,Italy,standard,3,Cape Town,3,3,1,3,True,Adventure,513.0400277825851,7,202.54565614792205,67.30507207722958
130,32,Spain,silver,2,Rome,25,1,1,1,False,Cultural,5543.015004857627,6,4499.790690649996,1206.5579340580803
131,18,UK,standard,3,Cairo,14,1,7,2,False,Cultural,3305.3012842845237,7,3123.787129085595,367.1120629218248
132,41,USA,silver,1,Cairo,9,2,8,2,True,Cultural,2207.33187467729,6,1894.1221730502948,334.0782180716332
133,24,Canada,gold,5,Rio,12,2,12,6,True,Adventure,2773.3609930887733,8,2146.931111094982,801.9345853623813
134,47,UK,gold,4,Rio,17,5,8,1,False,Cultural,3830.0319938382527,7,3162.3133510050156,527.6760741137373
135,26,Australia,standard,3,Rome,11,1,12,6,False,Relaxation,2658.1212157574973,7,2118.54171142398,801.6761982317855
136,63,Canada,standard,3,Sydney,7,2,7,2,True,Relaxation,1452.7558274632781,5,814.6246256841366,331.5059533209983
137,28,UK,gold,5,Sydney,8,3,8,1,False,Adventure,1743.7479957929781,8,1103.2156820428693,350.3667120585199
138,35,Spain,standard,2,Cairo,3,4,6,4,False,Relaxation,884.9829422786772,6,730.541813559022,251.9330283393856
139,52,Italy,standard,3,Paris,10,2,6,17,False,Cultural,2086.632627075517,5,1785.5555199355772,489.1948550051303
140,21,Germany,silver,4,Paris,8,1,6,7,False,Relaxation,1841.9449663973464,5,1498.3385476942576,346.40709558739286
141,43,Canada,standard,3,Rome,5,4,12,8,False,Relaxation,1235.785504937168,7,794.0944711773183,360.2359014979982
142,59,Germany,standard,0,New York,5,5,8,2,False,Cultural,1424.250978336401,7,1254.8195844849886,160.59729835454837
143,18,Canada,gold,5,Sydney,2,1,12,1,False,Relaxation,395.1121076596702,7,-192.25318453652415,99.22197958498185
144,42,Canada,standard,1,Rio,17,1,8,7,False,Relaxation,3611.433572166683,5,3130.1476560858528,1192.6138526084037
145,43,Italy,standard,1,Cairo,11,3,2,1,False,Adventure,2180.573140981618,7,1944.5037780761604,526.9531766881574
146,51,Spain,standard,3,Tokyo,24,2,2,9,False,Relaxation,5780.816263252693,5,4520.489742780626,1074.5521850452024
147,21,France,silver,2,Sydney,8,3,6,2,False,Adventure,1878.7550187850734,7,1455.7128839774082,374.94140687090453
148,20,France,standard,2,Tokyo,3,1,12,4,True,Relaxation,672.9205248776068,6,570.9601127895123,183.9289334339789
149,47,Germany,standard,3,Paris,5,5,6,2,False,Adventure,965.362474310782,7,609.9447535368928,106.21996697322554
150,44,USA,silver,2,New York,18,2,7,3,False,Cultural,3751.71257671422,6,3514.2745871109805,814.7769828640243
151,43,UK,gold,6,New York,2,1,6,2,True,Adventure,64.38594911351701,6,-304.62088632304364,17.01497655787329
152,45,USA,standard,3,Sydney,2,4,12,2,True,Adventure,238.20692404150836,7,-83.7766580955475,38.50098118504614
153,29,USA,gold,5,Cape Town,15,5,6,2,True,Cultural,3393.1992689970625,8,2877.798261593066,304.66064822412557
154,43,France,standard,4,Cairo,6,3,8,5,False,Adventure,1244.2075304260163,7,1099.9668777513618,292.5657836958937
155,44,UK,silver,2,Sydney,20,2,12,1,False,Cultural,4860.000166576523,6,4428.015036297881,1200.0060286394573
156,29,France,standard,3,Cairo,16,3,2,2,True,Cultural,3386.519878483622,6,3267.0664055818197,662.3177400944561
157,67,Italy,standard,2,Rio,10,1,1,2,False,Cultural,1833.8019094331398,7,1146.217220078849,182.7396671181249
158,47,Italy,silver,2,Rome,4,3,12,1,False,Cultural,832.0781561890302,5,121.87368593976419,195.61376859310218
159,22,France,standard,2,Cape Town,3,4,2,4,True,Cultural,534.3361142498061,6,-61.78791896819894,116.70825634716124
160,49,Spain,standard,3,Paris,14,4,7,7,False,Relaxation,2901.5129990979667,7,2330.1196162867654,642.1298732476891
161,25,France,standard,3,Rome,10,3,6,1,True,Adventure,2518.7750220732423,4,2024.9680468174736,525.0999974865708
162,51,Australia,silver,3,Rome,10,3,12,2,True,Relaxation,2310.112712030564,5,1886.6982138327576,758.0698846780127
163,57,USA,standard,2,New York,12,3,1,7,True,Cultural,2347.884560172007,7,2122.468417693651,207.1538614013155
164,27,Spain,standard,3,Cairo,12,2,12,7,False,Cultural,2775.3538286662474,5,2552.427730302589,280.11982833456926
165,54,Spain,standard,1,Tokyo,9,2,12,4,False,Cultural,2296.2477990028797,7,1949.4462173360494,439.7897090112603
166,46,USA,standard,4,Cape Town,8,3,1,2,True,Relaxation,1395.7457910810463,7,753.0466205306029,490.15380659508287
167,52,Spain,standard,4,Rome,3,2,1,1,True,Relaxation,551.7566458877159,7,4.832046887711158,165.56378334273634
168,68,USA,standard,2,Paris,3,3,1,3,True,Cultural,695.3279228275045,7,75.65326901121705,22.030769358699317
169,36,Australia,standard,1,Rome,4,1,7,2,True,Relaxation,907.8275737397968,7,273.662066425797,174.94604100032484
170,28,Canada,standard,3,Cape Town,19,4,6,2,True,Relaxation,4227.139227577837,6,3573.75305177649,1273.0121060142671
171,26,Spain,silver,3,Tokyo,4,5,8,6,True,Adventure,690.924591238494,4,413.72262330206235,86.49658413253678
172,27,Germany,silver,2,Tokyo,8,3,7,2,True,Relaxation,1811.3674057867047,6,1672.8073974785634,537.6752177564989
173,38,Germany,gold,7,Paris,5,1,8,3,False,Relaxation,1315.6998438783291,7,688.8734831937425,376.7716151782421
174,45,Australia,standard,4,Rio,5,4,1,2,False,Relaxation,1057.5735302301698,7,686.0984768671187,150.69911567545967
175,44,USA,gold,5,Sydney,4,1,1,4,False,Adventure,925.8921821043779,8,357.6475524186329,298.3774611707346
176,52,Germany,standard,4,Tokyo,20,2,1,1,False,Adventure,4230.291788063344,5,3853.727445370332,774.5026956132082
177,40,Australia,gold,6,Rio,6,3,2,4,False,Relaxation,1056.1448946079406,7,432.40114020774274,244.54901953903024
178,61,France,standard,1,Tokyo,3,2,7,3,False,Relaxation,863.4205049336823,6,498.83689463521864,160.64570107088144
179,36,UK,standard,4,Sydney,2,3,8,5,True,Adventure,324.19745132106164,7,-375.3895184393957,71.8214998179463
180,80,Germany,standard,0,Tokyo,10,3,1,3,True,Cultural,1991.2754704143438,5,1864.8613812224742,344.012325891948
181,49,Italy,standard,5,Rome,6,2,2,2,False,Adventure,1327.6798690221874,6,921.9048527404639,165.35301903957225
182,27,UK,gold,4,Paris,15,4,12,1,False,Cultural,3327.5925235897284,8,2983.7516241336198,493.74662374939874
183,23,Italy,silver,4,Rome,0,2,8,3,False,Adventure,28.08235270838485,6,-585.8942074622756,27.782359297156145
184,47,USA,gold,5,Sydney,8,5,7,2,True,Relaxation,1586.0496597699532,8,1264.690237378108,244.87809653115852
185,36,Germany,silver,1,Paris,4,2,2,7,False,Relaxation,671.4597793371997,6,235.01373575189587,135.39461674654652
186,50,Australia,standard,5,Tokyo,14,4,6,1,True,Relaxation,3381.7429694814255,7,3260.0405816004327,878.3863010534714
187,47,Canada,standard,3,Tokyo,10,4,1,5,False,Cultural,2044.0848363263733,6,1703.56285349144,407.2657804839913
188,38,Germany,gold,5,Cairo,8,2,8,2,False,Cultural,1713.6562835828545,7,1357.4576496657648,216.07355689441005
189,27,Germany,silver,2,Rio,9,3,8,1,True,Adventure,2115.946042248791,6,1681.1503403350903,276.24450764335205
190,18,Germany,silver,7,Tokyo,9,3,8,1,True,Cultural,1967.7881775399355,7,1771.976737965693,323.8977673494524
191,33,Germany,standard,4,Paris,0,2,8,8,False,Relaxation,-285.9274452864387,7,-871.7343059360181,28.385483965416114
192,52,Italy,silver,2,Rio,6,2,7,2,False,Cultural,1209.4008556668027,7,757.4552318322658,263.4704937020455
193,43,Australia,gold,3,New York,15,4,12,3,False,Relaxation,3337.8009547495362,8,3044.1423286628883,1058.0644951066229
194,21,Australia,standard,2,Paris,6,4,2,3,False,Adventure,1327.0691575443425,6,885.2108725310444,263.3320509655875
195,42,Italy,standard,1,Rio,4,4,1,4,False,Cultural,803.1771189391463,6,341.9253737310836,162.70697792350055
196,45,Canada,standard,2,Tokyo,5,3,2,10,False,Relaxation,874.9038742207133,6,514.2939148251623,185.7377507206063
197,26,Australia,silver,3,Tokyo,15,3,6,5,False,Relaxation,3160.4849990892794,5,2778.9895062800815,401.70555933341495
198,42,Australia,standard,3,New York,0,3,12,3,True,Relaxation,385.05584287506696,5,98.09256594920117,73.3573529259295
199,40,USA,standard,3,Tokyo,12,2,1,8,True,Adventure,2333.3461692693395,5,1998.341823400477,353.2830310299533
200,22,Spain,standard,4,Cairo,13,1,2,5,False,Cultural,2675.7607781482843,7,2453.59480665527,545.2075762516745
201,45,USA,silver,1,New York,11,4,2,1,False,Cultural,1935.3654378768379,7,1829.8380226127806,316.4449299483757
202,48,Spain,standard,4,Rome,3,2,2,1,False,Cultural,469.58851669549966,7,6.798577721663946,-10.810973629052
203,56,UK,standard,4,Sydney,5,3,1,6,True,Relaxation,887.5517359467987,6,204.81466696947325,333.6152000985438
204,55,Canada,gold,5,Cairo,8,4,7,1,True,Adventure,1834.6766457800952,7,1621.1819734231085,212.1370961281801
205,19,Spain,gold,7,Paris,6,2,7,1,True,Cultural,1256.5544638770557,7,763.8410405086438,160.4267618520919
206,25,USA,standard,6,Rio,12,3,6,4,False,Cultural,3006.875437602208,5,2384.003885039358,345.6893360154075
207,47,Canada,silver,6,Rio,3,2,2,1,False,Adventure,768.5462609961984,5,103.02202826491055,170.11136151864142
208,47,Canada,silver,2,Cape Town,15,3,1,6,False,Adventure,3053.9219358666396,7,2598.608821625058,507.0027669101948
209,47,Germany,standard,2,Cape Town,13,2,2,1,False,Cultural,2537.6811781870742,5,2112.346984393997,405.5384297602261
210,80,France,standard,0,Cape Town,2,1,2,1,False,Cultural,291.7939994701867,7,-269.37636628873975,24.84011111180975
211,48,France,standard,3,Cape Town,3,5,7,3,False,Cultural,957.5266960113248,5,303.319329181291,169.99679696462476
212,57,France,standard,1,Sydney,2,2,8,3,False,Relaxation,276.44301612075446,7,-317.1559202570936,118.01166284191933
213,54,Canada,standard,5,Sydney,5,4,6,3,False,Cultural,1099.0594469776534,5,405.2885974093466,232.82486561235373
214,49,Germany,gold,5,Cairo,10,5,1,2,False,Relaxation,1733.6251977984036,6,1575.8717123135011,408.00847446098027
215,35,UK,standard,3,Cairo,3,5,7,1,False,Adventure,643.5009085767105,7,418.859524898592,147.41305045477628
216,51,UK,silver,2,Rio,12,1,7,3,True,Cultural,2980.967567987934,7,2474.7627754822042,397.18610923443777
217,28,France,standard,3,Tokyo,8,2,12,5,False,Relaxation,1700.804657729036,5,1391.9059508762498,409.16017040362027
218,36,UK,silver,4,Rio,2,4,1,2,False,Relaxation,763.1280171905405,5,221.29731818664402,154.57463592615292
219,32,Germany,standard,2,Rome,4,2,7,2,False,Relaxation,1171.0612456227718,5,844.7068827008745,353.26713508543264
220,41,France,silver,3,New York,5,3,2,1,False,Relaxation,862.2810770373126,7,743.8948843064228,326.8877218255524
221,74,Spain,silver,2,Sydney,7,1,7,2,False,Cultural,1388.928048291584,7,875.74909930314,225.5098782525524
222,18,Spain,silver,2,Cairo,4,5,12,8,True,Cultural,782.5132589059168,5,604.0669455964562,133.77961606477515
223,50,Germany,standard,1,Sydney,20,3,12,2,True,Relaxation,4533.261322912909,7,4014.0046471529477,1520.54457516872
224,18,Italy,silver,1,Tokyo,16,2,12,4,False,Adventure,3478.8403479862336,8,3231.3298385413846,640.8796836463553
225,32,UK,gold,5,Cairo,12,4,2,2,True,Relaxation,2682.3329059573753,6,2541.060310889425,896.4554500954122
226,56,France,silver,2,Rome,7,2,8,1,False,Cultural,1675.9391330593578,6,1046.690271511662,261.4105739288815
227,40,Spain,standard,5,New York,13,1,6,7,False,Relaxation,3014.0434278430466,5,2800.022188065576,939.7273537049533
228,23,Germany,silver,2,Tokyo,13,2,7,1,False,Adventure,3074.5013408166824,8,2742.32095630059,639.6347982529032
229,29,Australia,standard,1,Cairo,4,3,12,1,False,Adventure,702.7440690803869,7,583.5669596778948,98.4605141515118
230,50,Spain,gold,5,Rome,8,3,2,2,True,Adventure,1535.209451629607,7,908.0637994702465,306.5034412131645
231,29,Australia,silver,4,Paris,9,4,1,6,True,Cultural,1900.4164058469082,7,1327.708473947806,286.1571959226077
232,43,Germany,standard,3,Paris,10,5,2,1,False,Adventure,1868.6798167299885,5,1250.313961056924,165.83081104394284
233,40,Germany,standard,1,Rome,12,5,8,1,False,Cultural,3161.6447922990965,5,2525.6085621627963,578.0946480361569
